ct_intervention_id,ct_intervention_raw,who_drug_substances,who_covid_trial_substances,ct_intervention_types,text_class
32,Placebos,"""No matches""","""No matches""","[""Drug""]",
240,Standard of care,"""No matches""","""No matches""","[""Other""]",
1146,Tacrolimus,"[""Tacrolimus""]","""No matches""","[""Drug""]",
706589,Covax-19™,"""No matches""","""No matches""","[""Biological""]",
2167147,SCH Intervention,"""No matches""","""No matches""","[""Other""]",
906,Povidone-Iodine,"[""Povidone-iodine"", ""Iodine"", ""Povidone""]","""No matches""","[""Drug""]",
2046481,Exercise training group,"""No matches""","""No matches""","[""Other""]",
2046484,SARS-CoV-2 Specific T Cells,"""No matches""","""No matches""","[""Biological""]",
518,DAS181 OL,"""No matches""","""No matches""","[""Drug""]",
1831,Conventional treatment,"""No matches""","""No matches""","[""Drug""]",
1234,Tofacitinib,"[""Tofacitinib""]","""No matches""","[""Drug""]",
2403587,CK0802,"""No matches""","""No matches""","[""Biological""]",
570,Siltuximab,"[""Siltuximab""]","""No matches""","[""Drug""]",
2107810,Emotional Support Plan,"""No matches""","""No matches""","[""Behavioral""]",
2107775,Daily Monitoring,"""No matches""","""No matches""","[""Behavioral""]",
1335762,Previfenon®,"""No matches""","""No matches""","[""Drug""]",
97,Exercise Group,"""No matches""","""No matches""","[""Other""]",
239,HFNO,"""No matches""","""No matches""","[""Procedure""]",
1393251,Favipiravir Placebo,"[""Favipiravir""]","[""Favipiravir""]","[""Drug""]",
279,Hydroxychloroquine Sulfate 200 MG {Plaquenil},"[""Hydroxychloroquine sulfate"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
567,Chloroquine or hydroxychloroquine,"[""Chloroquine"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
1667531,miniprobe Alveoflex,"""No matches""","""No matches""","[""Device""]",
1163,azithromycin,"[""Azithromycin""]","""No matches""","[""Drug""]",
11,Video based exercise,"""No matches""","""No matches""","[""Behavioral""]",
20315,COVID Convalescent Plasma,"[""Plasma""]","""No matches""","[""Biological""]",
2107873,ChAdOx1 nCoV-19 full boost,"""No matches""","[""ChAdOx1 nCoV-19""]","[""Biological""]",
2107888,ChAdOx1 nCoV-19 half boost,"""No matches""","[""ChAdOx1 nCoV-19""]","[""Biological""]",
2107879,MenACWY boost,"""No matches""","""No matches""","[""Biological""]",
1673,Sirolimus 1 MG/ML,"[""Sirolimus""]","""No matches""","[""Drug""]",
346873,LAU-7b,"""No matches""","""No matches""","[""Drug""]",
1703,hydroxychloroquine placebo,"[""Hydroxychloroquine""]","""No matches""","[""Drug""]",
991649,Plasma expansion with Ringer's Acetate,"[""Plasma""]","""No matches""","[""Other""]",
1181,Self-prone position recommendation,"""No matches""","""No matches""","[""Other""]",
1210,Enoxaparin 40Mg/0.4Ml Inj Syringe 0.4Ml,"[""Enoxaparin""]","""No matches""","[""Drug""]",
13,Hydroxychloroquine sulfate,"[""Hydroxychloroquine sulfate"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
1770,MLS Laser,"""No matches""","""No matches""","[""Device""]",
1019,Clopidogrel,"[""Clopidogrel""]","""No matches""","[""Drug""]",
2210852,Mesenchymal Stromal Cells infusion,"""No matches""","""No matches""","[""Biological""]",
1266,Ibuprofen,"[""Ibuprofen""]","""No matches""","[""Drug""]",
2165287,Problem-solving and relationship improvement intervention.,"""No matches""","""No matches""","[""Behavioral""]",
2167316,Stimulation test with arginine infusion in order to verify the possible existence of damage to the beta cell function induced by COVID-19 infection,"[""Arginine""]","""No matches""","[""Diagnostic Test""]",
1707,Enoxaparin Higher Dose,"[""Enoxaparin""]","""No matches""","[""Drug""]",
991844,Maraviroc,"[""Maraviroc""]","""No matches""","[""Drug""]",
2212740,Lopinavir/Ritonavir 200 MG-50 MG Oral Tablet,"[""Ritonavir"", ""Lopinavir""]","""No matches""","[""Drug""]",
2212791,Atorvastatin 20 Mg Oral Tablet,"[""Atorvastatin""]","""No matches""","[""Drug""]",
19509,Tracheotomy,"""No matches""","""No matches""","[""Procedure""]",
20305,Icosapent ethyl,"""No matches""","""No matches""","[""Drug""]",
2212790,Telmisartan 40Mg Oral Tablet,"[""Telmisartan""]","""No matches""","[""Drug""]",
2107910,Anakinra 100Mg/0.67Ml Inj Syringe,"[""Anakinra""]","""No matches""","[""Drug""]",
706686,LifeSignals Biosensor 1AX*,"""No matches""","""No matches""","[""Device""]",
2046640,Standard Of Care (SOC) + Placebo,"""No matches""","""No matches""","[""Drug""]",
1689,bidirectional oxygenation mouthpiece,"""No matches""","""No matches""","[""Device""]",
1335770,Apilimod Dimesylate Capsule,"""No matches""","""No matches""","[""Drug""]",
547,Clarithromycin,"[""Clarithromycin""]","""No matches""","[""Drug""]",
1240887,IMM-101,"[""IMM-101""]","""No matches""","[""Biological""]",
1240308,Observation,"""No matches""","""No matches""","[""Other""]",
60,Nitazoxanide,"[""Nitazoxanide""]","""No matches""","[""Drug""]",
1221,Other drugs,"""No matches""","""No matches""","[""Drug""]",
1690,Mannitol,"[""Mannitol""]","""No matches""","[""Drug""]",
1710,Lopinavir / ritonavir tablets combined with Xiyanping injection,"[""Ritonavir"", ""Lopinavir""]","""No matches""","[""Drug""]",
2046627,Standard of Care (SOC) + ANG-3777,"""No matches""","""No matches""","[""Drug""]",
550,Mindfulness session(s),"""No matches""","""No matches""","[""Behavioral""]",
560,Normal Saline,"""No matches""","""No matches""","[""Other""]",
1219,hydrocortisone,"[""Hydrocortisone""]","""No matches""","[""Drug""]",
1716,poractant alfa,"[""Poractant alfa""]","""No matches""","[""Drug""]",
1188,0.9%NaCl,"""No matches""","""No matches""","[""Drug""]",
1721,exercise brochure,"""No matches""","""No matches""","[""Other""]",
1825,NestCell®,"""No matches""","""No matches""","[""Biological""]",
1667383,VentaProst (inhaled Flolan delivered via a dedicated delivery system),"""No matches""","""No matches""","[""Drug""]",
20361,Personal Exercise Intervention,"""No matches""","""No matches""","[""Behavioral""]",
2212897,Artemesia annua,"""No matches""","""No matches""","[""Dietary Supplement""]",
578,XCEL-UMC-BETA,"""No matches""","""No matches""","[""Drug""]",
20338,Virtual Group Intervention,"""No matches""","""No matches""","[""Behavioral""]",
25,"Hydroxychloroquine, lopinavir/ritonavir or azithromycin and placebo (standard therapy)","[""Ritonavir"", ""Lopinavir"", ""Hydroxychloroquine"", ""Azithromycin""]","""No matches""","[""Drug""]",
18382,Ivermectin + Placebo,"[""Ivermectin""]","""No matches""","[""Drug""]",
2165137,AG0301-COVID19,"""No matches""","""No matches""","[""Biological""]",
606,Anti-COVID-19 human immunoglobulin,"""No matches""","""No matches""","[""Biological""]",
2401325,SAB-185,"""No matches""","""No matches""","[""Biological""]",
755,Control,"""No matches""","""No matches""","[""Dietary Supplement""]",
18445,Nitazoxanide 500Mg Oral Tablet,"[""Nitazoxanide""]","""No matches""","[""Drug""]",
1390,Nivolumab Injection,"[""Nivolumab""]","""No matches""","[""Drug""]",
621,Therapeutic Plasma Exchange,"[""Plasma""]","""No matches""","[""Procedure""]",
604,Awake Prone Positioning,"""No matches""","""No matches""","[""Procedure""]",
18518,Crest Pro-Health Multi-Protection mouthwash,"""No matches""","""No matches""","[""Drug""]",
18641,Distilled water,"[""Water""]","""No matches""","[""Drug""]",
2046851,"RESP301, a Nitric Oxide generating solution","[""Nitric oxide""]","""No matches""","[""Drug""]",
1237,Heparin,"[""Heparin""]","""No matches""","[""Drug""]",
2108142,anti-SARS-CoV-2 human convalescent plasma,"[""Plasma""]","""No matches""","[""Biological""]",
18663,Merimepodib,"[""Merimepodib""]","""No matches""","[""Drug""]",
2213025,Tele-yoga therapy,"""No matches""","""No matches""","[""Other""]",
2213032,Primary care,"""No matches""","""No matches""","[""Other""]",
611,Messaging,"""No matches""","""No matches""","[""Behavioral""]",
2210633,unfractionated Heparin,"[""Heparin""]","""No matches""","[""Drug""]",
2210613,Unfractionated heparin nebulized,"[""Heparin""]","""No matches""","[""Drug""]",
2210619,acetylsalicylic acid,"[""Acetylsalicylic acid""]","""No matches""","[""Drug""]",
1480,Tocilizumab Injection,"[""Tocilizumab""]","""No matches""","[""Drug""]",
616,Cytokine Adsorption,"""No matches""","""No matches""","[""Device""]",
2108209,Antibody titration,"""No matches""","""No matches""","[""Diagnostic Test""]",
615,Hyperbaric oxygen therapy,"[""Oxygen""]","""No matches""","[""Device""]",
2108165,Blood group determination,"""No matches""","""No matches""","[""Diagnostic Test""]",
2213119,Low dose radiation 35 cGy,"""No matches""","""No matches""","[""Radiation""]",
2213050,High dose radiation 100 cGy,"""No matches""","""No matches""","[""Radiation""]",
18657,NestaCell®,"""No matches""","""No matches""","[""Biological""]",
44,Alteplase 50 MG {Activase},"[""Alteplase""]","""No matches""","[""Drug""]",
18790,Unfractionated heparin SC,"[""Heparin""]","""No matches""","[""Drug""]",
2404066,Dexamethasone (high dose),"[""Dexamethasone""]","""No matches""","[""Drug""]",
707132,community health worker support,"""No matches""","""No matches""","[""Other""]",
646,Suspension of heat killed (autoclaved) Mycobacterium w,"""No matches""","""No matches""","[""Drug""]",
1724542,FamilyChildCare (provisional name of app),"""No matches""","""No matches""","[""Device""]",
642,Plitidepsin 2.0 mg/day,"[""Plitidepsin""]","""No matches""","[""Drug""]",
40,Standard therapy of COVID-19,"""No matches""","""No matches""","[""Drug""]",
653,Serologic testing,"""No matches""","""No matches""","[""Other""]",
2165289,Cognitive and behavioral intervention.,"""No matches""","""No matches""","[""Behavioral""]",
1220,"MCN (Methylene blue, vitamin C, N-acetyl cysteine)","[""Cysteine""]","""No matches""","[""Drug""]",
1724,SOC plus Placebo IV,"""No matches""","""No matches""","[""Other""]",
1294384,Glycine,"[""Glycine""]","""No matches""","[""Dietary Supplement""]",
18370,"Taking blood samples (capillary and venous), saliva sampling and nasopharyngeal sampling.","""No matches""","""No matches""","[""Device""]",
1240892,Obvio-19 app,"""No matches""","""No matches""","[""Other""]",
706873,Supine Positioning,"""No matches""","""No matches""","[""Other""]",
1195,Matched Placebo Hydroxychloroquine,"[""Hydroxychloroquine""]","""No matches""","[""Other""]",
1611708,0.9%sodium chloride,"[""Chloride"", ""Sodium"", ""Sodium chloride""]","""No matches""","[""Drug""]",
497,Prone positioning,"""No matches""","""No matches""","[""Procedure""]",
1208,COVID-19 Convalescent Plasma,"[""Plasma""]","""No matches""","[""Biological""]",
1335950,Inhaled ILOPROST,"[""Iloprost""]","""No matches""","[""Drug""]",
1611931,BDB-001 Injection,"[""BDB 001""]","""No matches""","[""Drug""]",
21,Prone Positioning,"""No matches""","""No matches""","[""Other""]",
1334618,Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase),"""No matches""","""No matches""","[""Drug""]",
1768117,ChAdOx1 nCoV-19 (Abs 260),"""No matches""","[""ChAdOx1 nCoV-19""]","[""Biological""]",
1767623,ChAdOx1 nCoV-19 plus 5x10^10vp boost (qPCR),"""No matches""","[""ChAdOx1 nCoV-19""]","[""Biological""]",
925945,Pamrevlumab,"[""Pamrevlumab""]","""No matches""","[""Drug""]",
586630,morning pranayama,"""No matches""","""No matches""","[""Behavioral""]",
346972,Interview by psychologists,"""No matches""","""No matches""","[""Other""]",
1767489,Two dose MenACWY vaccine,"""No matches""","""No matches""","[""Biological""]",
1767621,ChAdox1 n-CoV-19 (Abs 260) vaccine low dose,"""No matches""","""No matches""","[""Biological""]",
586616,pre_dinner pranayama,"""No matches""","""No matches""","[""Behavioral""]",
1744,Public space exposure,"""No matches""","""No matches""","[""Other""]",
1755,Software Messaging,"""No matches""","""No matches""","[""Behavioral""]",
586642,Intervention group CoronaCope,"""No matches""","""No matches""","[""Behavioral""]",
1265,Best Available Therapy,"""No matches""","""No matches""","[""Other""]",
1257,PUL-042 Inhalation Solution,"""No matches""","[""PUL 042""]","[""Drug""]",
347100,Infusion IV of Mesenchymal Stem cells,"""No matches""","""No matches""","[""Biological""]",
707129,care as usual,"""No matches""","""No matches""","[""Other""]",
183,Random Donor Plasma,"[""Plasma""]","""No matches""","[""Drug""]",
1767613,ChAdOx1 nCoV-19 (qPCR),"""No matches""","[""ChAdOx1 nCoV-19""]","[""Biological""]",
586577,pre_lunch pranayama,"""No matches""","""No matches""","[""Behavioral""]",
1767486,ChAdOx1 nCoV-19 (Abs 260) + 2.2x10^10vp (qPCR) boost,"""No matches""","[""ChAdOx1 nCoV-19""]","[""Biological""]",
1214,HCQ & AZ vs HCQ+SIR,"""No matches""","""No matches""","[""Drug""]",
18511,Ivermectin + Doxycycline + Placebo,"[""Ivermectin"", ""Doxycycline""]","""No matches""","[""Drug""]",
1393298,zinc,"[""Zinc""]","""No matches""","[""Drug""]",
1726,Dipyridamole 100 Milligram(mg),"[""Dipyridamole""]","""No matches""","[""Drug""]",
594,ASC09F+Oseltamivir,"[""Oseltamivir""]","""No matches""","[""Drug""]",
1767712,Experimental Group,"""No matches""","""No matches""","[""Drug""]",
1767626,Placebo Group,"""No matches""","""No matches""","[""Drug""]",
347133,Lung Low Dose Radiation,"[""Lung""]","""No matches""","[""Radiation""]",
597,Montelukast 10mg,"[""Montelukast""]","""No matches""","[""Drug""]",
346967,Assembled mask,"""No matches""","""No matches""","[""Other""]",
1239,Blood collection on their first consultation and 10 to 14 days later,"""No matches""","""No matches""","[""Biological""]",
622,"hypoxia : 14.3 and 12.7% FIO2, hypercapnia 7% CO2, inspiratory mechanical constraint","""No matches""","""No matches""","[""Other""]",
1668119,Manremyc,"""No matches""","""No matches""","[""Dietary Supplement""]",
1748,Colchicine 1 MG Oral Tablet,"[""Colchicine""]","""No matches""","[""Drug""]",
992152,VibroLUNG,"""No matches""","""No matches""","[""Device""]",
1767657,Biological sample collection,"""No matches""","""No matches""","[""Diagnostic Test""]",
37,Baricitinib Oral Tablet,"[""Baricitinib""]","""No matches""","[""Drug""]",
926322,Mindfulness Rounds,"""No matches""","""No matches""","[""Other""]",
34,Verapamil,"[""Verapamil""]","""No matches""","[""Drug""]",
991940,Respiratory Mechanics,"""No matches""","""No matches""","[""Other""]",
992029,Standard Ventilation Strategy,"""No matches""","""No matches""","[""Other""]",
1667777,BACMUNE (MV130),"""No matches""","""No matches""","[""Biological""]",
1753,Tocilizumab Injection {Actemra},"[""Tocilizumab""]","""No matches""","[""Drug""]",
643,AWARD plus COVID-specific advice,"""No matches""","""No matches""","[""Behavioral""]",
1261,COVID-19 related health warning leaflet,"""No matches""","""No matches""","[""Behavioral""]",
1779,Therapy Intervention,"""No matches""","""No matches""","[""Behavioral""]",
651,PSG,"""No matches""","""No matches""","[""Other""]",
1275,Normal Saline 0.9%,"""No matches""","""No matches""","[""Other""]",
1611949,Nebulized administration of RLF-100 or Placebo,"""No matches""","""No matches""","[""Device""]",
1612115,RLF-100 (aviptadil),"[""Aviptadil""]","""No matches""","[""Drug""]",
71,Interferon Beta-1B,"[""Interferon"", ""Interferon beta"", ""Interferon beta-1b""]","""No matches""","[""Drug""]",
652,Oxygen,"[""Oxygen""]","""No matches""","[""Device""]",
586886,Bromhexine and Spironolactone,"[""Spironolactone"", ""Bromhexine""]","""No matches""","[""Drug""]",
586893,Base therapy,"""No matches""","""No matches""","[""Drug""]",
465,Interferon Beta-1A,"[""Interferon"", ""Interferon beta"", ""Interferon beta-1a""]","""No matches""","[""Drug""]",
49,BMS-986253,"""No matches""","[""BMS 986253""]","[""Drug""]",
1336146,GX-19,"""No matches""","""No matches""","[""Drug""]",
135,basic treatment,"""No matches""","""No matches""","[""Drug""]",
2047062,Probiorinse,"""No matches""","""No matches""","[""Other""]",
81,Lopinavir/ritonavir,"[""Ritonavir"", ""Lopinavir""]","""No matches""","[""Drug""]",
1216,Plasma,"[""Plasma""]","""No matches""","[""Biological""]",
1767684,Enzalutamide,"[""Enzalutamide""]","""No matches""","[""Drug""]",
1782,Baricitinib 4 MG Oral Tablet,"[""Baricitinib""]","""No matches""","[""Drug""]",
46,Nudge,"""No matches""","""No matches""","[""Behavioral""]",
661,Robotic therapy,"""No matches""","""No matches""","[""Device""]",
347160,photobiomodulation and photodynamic therapy,"""No matches""","""No matches""","[""Procedure""]",
347400,Standard Of Care (SOC),"""No matches""","""No matches""","[""Other""]",
1269,Cholecalciferol,"""No matches""","""No matches""","[""Drug""]",
1724554,Q16 testing,"""No matches""","""No matches""","[""Diagnostic Test""]",
1724645,Nasopharyngeal swab and main laboratory,"""No matches""","""No matches""","[""Diagnostic Test""]",
650,Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector),"""No matches""","""No matches""","[""Biological""]",
1280,VPM1002,"""No matches""","""No matches""","[""Biological""]",
658,Crisis management coaching,"""No matches""","""No matches""","[""Behavioral""]",
1268,Recombinant novel coronavirus vaccine (Adenovirus type 5 vector),"""No matches""","""No matches""","[""Biological""]",
1336136,Dutasteride,"[""Dutasteride""]","""No matches""","[""Drug""]",
675,captopril 25mg,"[""Captopril""]","""No matches""","[""Drug""]",
679,Convalescent SARS COVID-19 plasma,"[""Plasma""]","""No matches""","[""Other""]",
1336139,FAVIR 200 MG FT,"""No matches""","""No matches""","[""Drug""]",
1336156,AVIGAN 200 mg FT,"""No matches""","""No matches""","[""Drug""]",
1802,Zilucoplan®,"""No matches""","""No matches""","[""Drug""]",
676,VivaDiag™ COVID-19 lgM/IgG Rapid Test,"""No matches""","""No matches""","[""Device""]",
1799,Test Drug 200 mg favipiravir,"[""Favipiravir""]","[""Favipiravir""]","[""Drug""]",
1294705,Conjunctival swab and nasopharyngeal swab,"""No matches""","""No matches""","[""Diagnostic Test""]",
683,BCG GROUP,"""No matches""","""No matches""","[""Biological""]",
20780,SARS-CoV-2 plasma,"[""Plasma""]","""No matches""","[""Drug""]",
1289,Isoprinosine,"""No matches""","""No matches""","[""Drug""]",
680,Aspirin 81 mg,"""No matches""","""No matches""","[""Drug""]",
678,Lopinavir-Ritonavir,"[""Ritonavir"", ""Lopinavir""]","""No matches""","[""Drug""]",
697,Angiotensin receptor blocker,"""No matches""","""No matches""","[""Drug""]",
707064,Dipyridamole,"[""Dipyridamole""]","""No matches""","[""Drug""]",
1815,Levamisole and Isoprinosine,"[""Levamisole""]","""No matches""","[""Drug""]",
1668013,Human umbilical cord mesenchymal stem cells + best supportive care,"""No matches""","""No matches""","[""Biological""]",
1298,molecular testing for virus RNA using RT-PCR,"""No matches""","""No matches""","[""Diagnostic Test""]",
20788,Lactoferrin (Apolactoferrin),"[""Lactoferrin""]","""No matches""","[""Dietary Supplement""]",
701,Active PBMT/sMF,"""No matches""","""No matches""","[""Device""]",
1818,Transfusion of COVID-19 convalescent plasma,"[""Plasma""]","""No matches""","[""Drug""]",
1813,Mefloquine,"[""Mefloquine""]","""No matches""","[""Drug""]",
1814,Hydroxychloroquine + azithromycin + / - tocilizumab,"[""Tocilizumab"", ""Hydroxychloroquine"", ""Azithromycin""]","""No matches""","[""Combination Product""]",
19061,LY3819253,"""No matches""","""No matches""","[""Drug""]",
18352,Nitric Oxide delivered via LungFit™ system,"[""Nitric oxide""]","""No matches""","[""Device""]",
1830,Placebo PBMT/sMF,"""No matches""","""No matches""","[""Device""]",
20684,Placebo of excipient(s) will be administered,"""No matches""","""No matches""","[""Drug""]",
689,hydroxychloroquine sulfate 200 MG,"[""Hydroxychloroquine sulfate"", ""Hydroxychloroquine""]","""No matches""","[""Drug""]",
1299,Canakinumab,"[""Canakinumab""]","""No matches""","[""Drug""]",
1295,Heparin SC,"[""Heparin""]","""No matches""","[""Drug""]",
587198,Bemiparin,"[""Bemiparin""]","""No matches""","[""Drug""]",
707331,Home-based exercise,"""No matches""","""No matches""","[""Other""]",
587085,Saline solution,"""No matches""","""No matches""","[""Other""]",
707,ACEIs,"""No matches""","""No matches""","[""Drug""]",
1240790,Serology SARS-CoV2,"""No matches""","""No matches""","[""Biological""]",
1240616,Data collection,"""No matches""","""No matches""","[""Behavioral""]",
926269,Lianhua Qingwen,"""No matches""","""No matches""","[""Drug""]",
2213280,Best Standard of Care + CARDIO,"""No matches""","""No matches""","[""Dietary Supplement""]",
2213301,Best Standard of Care,"""No matches""","""No matches""","[""Dietary Supplement""]",
20856,ICU Recovery + Physical Therapy,"""No matches""","""No matches""","[""Other""]",
1833,CD24Fc,"""No matches""","[""CD24Fc""]","[""Drug""]",
586997,Video Dance classes,"""No matches""","""No matches""","[""Other""]",
586998,Unsupervised physical activities,"""No matches""","""No matches""","[""Other""]",
789,Umifenovir,"[""Umifenovir""]","""No matches""","[""Drug""]",
19624,Favipiravir (3200 mg + 1200 mg),"[""Favipiravir""]","[""Favipiravir""]","[""Drug""]",
19600,Favipiravir (3600 mg + 1600 mg),"[""Favipiravir""]","[""Favipiravir""]","[""Drug""]",
19663,Favipiravir (3200 mg + 1200 mg) combined with Hydroxychloroquine,"[""Favipiravir"", ""Hydroxychloroquine""]","[""Favipiravir""]","[""Drug""]",
19124,Favipiravir (3200 mg + 1200 mg) combined with Azithromycin,"[""Favipiravir"", ""Azithromycin""]","[""Favipiravir""]","[""Drug""]",
19153,Hydroxychloroquine combined with Azithromycin,"[""Hydroxychloroquine"", ""Azithromycin""]","""No matches""","[""Drug""]",
19625,Octagam,"""No matches""","""No matches""","[""Drug""]",
1056172,Niclosamide Oral Tablet,"[""Niclosamide""]","""No matches""","[""Drug""]",
1313,Standard of Care (SoC),"""No matches""","""No matches""","[""Drug""]",
1837,Coping strategies video,"""No matches""","""No matches""","[""Behavioral""]",
20865,Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule,"""No matches""","[""SARS-CoV-2 Vaccine""]","[""Biological""]",
20801,Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 14-day schedule,"""No matches""","[""SARS-CoV-2 Vaccine""]","[""Biological""]",
20869,High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule,"""No matches""","[""SARS-CoV-2 Vaccine""]","[""Biological""]",
20884,High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 14-day schedule,"""No matches""","[""SARS-CoV-2 Vaccine""]","[""Biological""]",
20803,Placebo on a 0- and 14-day schedule,"""No matches""","""No matches""","[""Biological""]",
347325,KB109 + Self Supportive Care (SSC),"""No matches""","""No matches""","[""Other""]",
1470,Levilimab,"""No matches""","""No matches""","[""Drug""]",
587062,QuadraMune(TM),"""No matches""","""No matches""","[""Dietary Supplement""]",
1821,2: Standard of care,"""No matches""","""No matches""","[""Drug""]",
24,Methylprednisolone,"[""Methylprednisolone""]","""No matches""","[""Drug""]",
18949,Self-guided exercises,"""No matches""","""No matches""","[""Behavioral""]",
707424,Learning running subcuticular sutures on the Gamified Educational Network,"""No matches""","""No matches""","[""Other""]",
830,Resiniferatoxin,"""No matches""","""No matches""","[""Drug""]",
1042,metenkefalin + tridecactide,"""No matches""","""No matches""","[""Drug""]",
1038,Kevzara sc,"""No matches""","""No matches""","[""Drug""]",
1048,Standard medical care,"""No matches""","""No matches""","[""Other""]",
1041,draw blood,"""No matches""","""No matches""","[""Other""]",
15,Ruxolitinib,"[""Ruxolitinib""]","""No matches""","[""Drug""]",
18979,Phase 1,"""No matches""","""No matches""","[""Radiation""]",
1530,vv-ECMO + cytokine adsorption (Cytosorb adsorber),"""No matches""","""No matches""","[""Device""]",
20757,Patient-centred advice on Telephone Consultation in TB Patients:,"""No matches""","""No matches""","[""Behavioral""]",
1057,Resveratrol,"[""Resveratrol""]","""No matches""","[""Drug""]",
1336359,Sampling of tissue,"""No matches""","""No matches""","[""Diagnostic Test""]",
1529,gammaCore® (Vagus nerve stimulation),"""No matches""","""No matches""","[""Device""]",
387,RoActemra sc,"""No matches""","""No matches""","[""Drug""]",
2211064,Wearing surgical face mask sprayed with hypertonic saline,"""No matches""","""No matches""","[""Other""]",
394,Ayurveda,"""No matches""","""No matches""","[""Other""]",
396888,patients COVID 19,"""No matches""","""No matches""","[""Other""]",
2047340,Tele-Yoga Therapy,"""No matches""","""No matches""","[""Other""]",
1768296,150 ppm Nitric Oxide delivered through LungFit Delivery System,"[""Nitric oxide""]","""No matches""","[""Combination Product""]",
2047330,OP-101,"""No matches""","""No matches""","[""Drug""]",
1394012,Saline-sodium citrate (SSC) buffer,"[""Sodium"", ""Sodium citrate""]","""No matches""","[""Other""]",
1551,hyperbaric oxygen therapy (HBOT),"[""Oxygen""]","""No matches""","[""Device""]",
1554,Thalidomide,"[""Thalidomide""]","""No matches""","[""Drug""]",
1691,Darunavir and Cobicistat,"[""Cobicistat"", ""Darunavir""]","""No matches""","[""Drug""]",
1730,Online questionnaire,"""No matches""","""No matches""","[""Other""]",
707176,STP + Standard Plasma (SP),"[""Plasma""]","""No matches""","[""Other""]",
707254,Standard Therapy Protocol (STP),"""No matches""","""No matches""","[""Drug""]",
707401,STP + COVID-19 Convalescent Plasma (CP),"[""Plasma""]","""No matches""","[""Other""]",
1493,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules","[""Interferon"", ""Ritonavir"", ""Lopinavir"", ""Oxygen""]","""No matches""","[""Drug""]",
357,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir)","[""Interferon"", ""Ritonavir"", ""Lopinavir"", ""Oxygen""]","""No matches""","[""Drug""]",
371,N-acetylcysteine+ Fuzheng Huayu Tablet,"[""Acetylcysteine""]","""No matches""","[""Drug""]",
2047232,Control message,"""No matches""","""No matches""","[""Other""]",
2047219,Baseline message,"""No matches""","""No matches""","[""Other""]",
2047235,Personal freedom message,"""No matches""","""No matches""","[""Other""]",
2047247,Economic benefit message,"""No matches""","""No matches""","[""Other""]",
2047250,Embarrassment message,"""No matches""","""No matches""","[""Other""]",
1517,BAT,"""No matches""","""No matches""","[""Drug""]",
2047363,Lanadelumab,"[""Lanadelumab""]","""No matches""","[""Drug""]",
1055,isocaloric/isonutrigenous ONS,"""No matches""","""No matches""","[""Dietary Supplement""]",
1724953,XAV-19,"""No matches""","""No matches""","[""Drug""]",
423,stem cells,"""No matches""","""No matches""","[""Combination Product""]",
1336668,oral polio vaccine + information,"[""Polio vaccine""]","""No matches""","[""Biological""]",
1336490,Information,"""No matches""","""No matches""","[""Behavioral""]",
1569,Standard therapy for COVID-19 according to the stablished hospital protocols.,"""No matches""","""No matches""","[""Drug""]",
1560,Aspirin 100mg,"""No matches""","""No matches""","[""Drug""]",
587337,Imatinib Mesylate,"[""Imatinib""]","""No matches""","[""Drug""]",
1046,General health education,"""No matches""","""No matches""","[""Behavioral""]",
1521,BAT + Calcifediol,"[""Calcifediol""]","""No matches""","[""Drug""]",
738,Best available treatment,"""No matches""","""No matches""","[""Drug""]",
1564,Standard Care,"""No matches""","""No matches""","[""Other""]",
424,Telerehabilitation,"""No matches""","""No matches""","[""Other""]",
64,placebo,"""No matches""","""No matches""","[""Other""]",
2047383,Nitazoxanide and atazanavir/ritonavir,"[""Nitazoxanide"", ""Ritonavir"", ""Atazanavir""]","""No matches""","[""Drug""]",
1079,Mindfulness intervention,"""No matches""","""No matches""","[""Behavioral""]",
63,Drug: Isotretinoin plus Tamoxifen,"[""Tamoxifen"", ""Isotretinoin""]","""No matches""","[""Drug""]",
2047238,Economic freedom message,"""No matches""","""No matches""","[""Other""]",
2047242,Self-interest message,"""No matches""","""No matches""","[""Other""]",
2047224,Community interest message,"""No matches""","""No matches""","[""Other""]",
2047225,Guilt message,"""No matches""","""No matches""","[""Other""]",
2047227,Anger message,"""No matches""","""No matches""","[""Other""]",
2047229,Trust in science message,"""No matches""","""No matches""","[""Other""]",
2047253,Not bravery message,"""No matches""","""No matches""","[""Other""]",
1010,N-803,"""No matches""","""No matches""","[""Biological""]",
278,Saline,"""No matches""","""No matches""","[""Other""]",
1502,Meditation app usage,"""No matches""","""No matches""","[""Behavioral""]",
